Submitted at,Country you live and work in,City,Gender,Your age,Your job title,What is your current type of employment?,Level of seniority,Primary field of work,Years of relevant design experience,Years of total working experience,Highest level of formal education attained,Did you have design-related education (Formal/informal)?,Select the relevant design-related education. Select all that apply.,"Select the relevant design-related education. Select all that apply. (Formal design education (Diploma, Degree..))",Select the relevant design-related education. Select all that apply. (Online certification (e.g. Coursera or IDF)),Select the relevant design-related education. Select all that apply. (Bootcamps (e.g. General Assembly)),Select the relevant design-related education. Select all that apply. (In-person certified courses),Select the relevant design-related education. Select all that apply. (Self-taught / informal / unstructured courses),Have you lived and worked in another country?,Currency you draw your salary in,Would you like to share your base salary on a monthly or annual basis?,Annual base salary,Monthly base salary,Annual bonus,Annual stock grant (in local currency),Other compensation (annual basis),Annual Total Comp,Annual Total Comp (SGD),Other benefits,What type of company do you currently work for?,Industry your company is in,Company size,Size of design team,Are you physically located at your company headquarters?,Work arrangement at company,Company name
2024-10-22 2:41:19,Singapore,Singapore,Woman,25 - 30,Product designer,Fixed term contractor,Junior IC (Entry level),Product / UX design,3,3,Bachelor's degree,Yes,Bootcamps (e.g. General Assembly),FALSE,FALSE,TRUE,FALSE,FALSE,No,SGD,Monthly,,"5,500",,,,"66,000","66,000","Dental insurance, Paid time off / vacation time, Health insurance, Paid medical leave",Large enterprise (MNC),"Technology, media & telecommunications","10,001 and above",2 - 10,Yes,3 days on-site,
2024-10-22 2:50:41,Singapore,Singapore,Woman,46 - 50,Product designer,Full-time employee,Mid-level IC,Product / UX design,3,20,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,SGD,Monthly,,"6,500",,,,"78,000","78,000","Health insurance, Paid medical leave, Paid time off / vacation time, Onsite food / snacks",Start-up,Investment management,51 - 200,2 - 10,Yes,4 days on-site,
2024-10-22 2:51:58,Singapore,Singapore,Man,31 - 35,UX Researcher,Full-time employee,Senior IC,Product / UX research,5,5,Bachelor's degree,Yes,Bootcamps (e.g. General Assembly),FALSE,FALSE,TRUE,FALSE,FALSE,No,SGD,Monthly,,"7,500",,,,"90,000","90,000",,Start-up,"Technology, media & telecommunications",201 - 1000,11 - 50,Yes,Fully remote,
2024-10-22 2:57:05,Singapore,Singapore,Man,41 - 45,Senior UX/UI designer,Full-time employee,Senior IC,Product / UX design,5,5,Diploma,No,,,,,,,Yes,SGD,Annual,"103,200",,"2,580",5,,"105,785","105,785","Paid time off / vacation time, Paid medical leave, Health insurance, Dental insurance, Onsite food / snacks",Start-up,Insurance,51 - 200,Team of 1,Yes,Fully on-site,
2024-10-22 3:05:49,Singapore,Singapore,Man,25 - 30,UI/UX Design Executive,Full-time employee,Mid-level IC,Visual / UI design,6,6,Diploma,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,SGD,Monthly,,"3,500",,,,"42,000","42,000","Paid medical leave, Paid time off / vacation time, Allowance for flexible working arrangement (remote/co-working space)",Small-medium enterprise,"Technology, media & telecommunications",51 - 200,Team of 1,Yes,3 days on-site,HeartVoice Pte Ltd/iAPPS Pte Ltd
2024-10-22 3:07:41,Singapore,Singapore,Woman,25 - 30,UIUX Designer,Full-time employee,Mid-level IC,Product / UX design,3,6,Bachelor's degree,Yes,Bootcamps (e.g. General Assembly),FALSE,FALSE,TRUE,FALSE,FALSE,No,SGD,Monthly,,"5,100",,,,"61,200","61,200","Paid medical leave, Paid time off / vacation time, Transport subsidies",Agency / Consulting,"Technology, media & telecommunications",51 - 200,2 - 10,Yes,Fully on-site,
2024-10-22 3:34:58,Indonesia,Yogyakarta,Woman,18 - 24,Product Designer,Full-time employee,Junior IC (Entry level),Visual / UI design,4,4,High school / secondary school,No,,,,,,,No,IDR,Monthly,,"5,000,000",,,,"60,000,000","5,040","Health insurance, Paid time off / vacation time",Start-up,"Transportation, hospitality & services",51 - 200,2 - 10,Yes,Fully on-site,
2024-10-22 4:11:16,Indonesia,Yogyakarta,Man,31 - 35,UIUX Designer,Full-time employee,Mid-level IC,Visual / UI design,10,5,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,IDR,Monthly,,"4,500,000",0,0,0,"54,000,000","4,536",Flexible schedule,Agency / Consulting,"Technology, media & telecommunications",11 - 50,2 - 10,Yes,Fully remote,
2024-10-22 4:16:06,Singapore,Singapore,Woman,31 - 35,Senior UX Manager,Full-time employee,Senior IC,Product / UX design,11,11,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,SGD,Monthly,,"9,400","14,000","5,000",,"131,800","131,800","Wellness (gym, fitness, etc), Paid medical leave, Health insurance",Large enterprise (MNC),Consumer products,201 - 1000,51 - 100,Yes,Fully on-site,
2024-10-22 4:57:34,Singapore,Singapore,Man,31 - 35,Head of Product Design,Full-time employee,Head of department / Senior leadership,Product / UX design,10,12,Master's degree,No,,,,,,,Yes,SGD,Monthly,,"12,000",,"6,500",,"150,500","150,500","Wellness (gym, fitness, etc), Professional development, training, or learning fund",Start-up,"Transportation, hospitality & services",201 - 1000,2 - 10,Yes,2 days on-site,
2024-10-22 5:22:10,Indonesia,Jakarta,Man,25 - 30,Product Designer,Full-time employee,Senior IC,Product / UX design,6,8,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"12,000,000","36,000,000",,,"180,000,000","15,120","Paid medical leave, Health insurance, Professional development, training, or learning fund",Large enterprise (MNC),Financial services,51 - 200,2 - 10,Yes,Fully on-site,
2024-10-22 6:12:02,Indonesia,Yogyakarta,Man,18 - 24,UI/UX Designer,Full-time employee,Junior IC (Entry level),Product / UX design,1,2,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"3,200,000","1,000,000",,,"39,400,000","3,310","Health insurance, Flexible schedule",Start-up,"Technology, media & telecommunications",1 - 10,Team of 1,Yes,3 days on-site,BE-TECH
2024-10-22 6:20:21,Malaysia,Kuala Lumpur,Man,31 - 35,UX Writer/Content Designer,Full-time employee,Senior IC,Content design / UX writer,6,7,Bachelor's degree,Yes,Online certification (e.g. Coursera or IDF),FALSE,TRUE,FALSE,FALSE,FALSE,No,MYR,Monthly,,"6,500",,,"2,500","80,500","24,400","Health insurance, Paid time off / vacation time, Internet / mobile phone subsidies, Professional development, training, or learning fund",Start-up,Financial services,51 - 200,2 - 10,Yes,Fully on-site,Ryt Bank
2024-10-22 7:52:52,Indonesia,Jakarta,Man,18 - 24,Product Designer,Full-time employee,Mid-level IC,Product / UX design,3,3,Bachelor's degree,Yes,Bootcamps (e.g. General Assembly),FALSE,FALSE,TRUE,FALSE,FALSE,No,IDR,Monthly,,"8,000,000",,,,"96,000,000","8,064","Dental insurance, Allowance for flexible working arrangement (remote/co-working space), Paid time off / vacation time, Health insurance, Transport subsidies",Start-up,Health care,51 - 200,Team of 1,Yes,3 days on-site,
2024-10-22 9:16:57,Indonesia,Jakarta,Man,25 - 30,UI UX Designer,Full-time employee,Mid-level IC,Product / UX design,6,4,Bachelor's degree,Yes,Self-taught / informal / unstructured courses,FALSE,FALSE,FALSE,FALSE,TRUE,No,IDR,Monthly,,"8,500,000","6,500,000",,,"108,500,000","9,114",,Large enterprise (MNC),"Retail, wholesale & distribution","10,001 and above",2 - 10,Yes,Fully on-site,
2024-10-22 10:16:41,Singapore,Singapore,Woman,25 - 30,Ui / UX designer,Full-time employee,Junior IC (Entry level),Product / UX design,1,3,Master's degree,Yes,"Bootcamps (e.g. General Assembly), Formal design education (Diploma, Degree..)",TRUE,FALSE,TRUE,FALSE,FALSE,Yes,SGD,Monthly,,"5,040",,,,"60,480","60,480","Paid medical leave, Health insurance, Paid time off / vacation time, Professional development, training, or learning fund, Dental insurance",Start-up,"Technology, media & telecommunications",11 - 50,2 - 10,Yes,4 days on-site,
2024-10-22 11:14:44,Indonesia,Jakarta,Man,31 - 35,UI UX DESIGNER,Self-employed (Freelancers; own company),Senior IC,Visual / UI design,9,9,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"30,000,000",,,,"360,000,000","30,240",,Start-up,"Transportation, hospitality & services",1 - 10,Team of 1,No,Fully remote,
2024-10-22 11:17:09,Indonesia,Jakarta,Woman,18 - 24,Creative Associate,Full-time employee,Senior IC,Marketing / graphic design,6,7,High school / secondary school,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,IDR,Monthly,,"6,000,000",,,,"72,000,000","6,048","Meal subsidies, Paid time off / vacation time",Agency / Consulting,Entertainment,11 - 50,2 - 10,Yes,Fully on-site,
2024-10-22 11:17:22,Indonesia,Semarang,Man,18 - 24,UI Designer,Full-time employee,Senior IC,Visual / UI design,4,4,High school / secondary school,No,,,,,,,Yes,IDR,Monthly,,"4,150,000","200,000",,,"50,000,000","4,200","Health insurance, Transport subsidies, Onsite food / snacks, Internet / mobile phone subsidies",Start-up,Crowdplanting,11 - 50,Team of 1,Yes,Fully remote,
2024-10-22 11:17:26,Indonesia,Jakarta,Man,25 - 30,Senior Creative Designer,Full-time employee,Senior IC,Marketing / graphic design,5,5,High school / secondary school,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,IDR,Monthly,,"11,000,000","11,000,000",0,0,"143,000,000","12,012","Paid time off / vacation time, Health insurance, Paid medical leave, Dental insurance, Onsite food / snacks",Start-up,"Technology, media & telecommunications",51 - 200,2 - 10,No,Fully on-site,WeTV
2024-10-22 11:17:58,Indonesia,Bandung,Woman,25 - 30,Junior UI/UX Designer,Full-time employee,Junior IC (Entry level),Product / UX design,2,7,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..), Bootcamps (e.g. General Assembly)",TRUE,FALSE,TRUE,FALSE,FALSE,No,IDR,Monthly,,"7,000,000",,,,"84,000,000","7,056","Health insurance, Internet / mobile phone subsidies, Meal subsidies, Allowance for flexible working arrangement (remote/co-working space)",Start-up,"Technology, media & telecommunications",11 - 50,2 - 10,Yes,Fully remote,
2024-10-22 11:18:23,Indonesia,Jakarta,Man,18 - 24,Product Designer,Full-time employee,Mid-level IC,Product / UX design,4,2,Bachelor's degree,Yes,"Online certification (e.g. Coursera or IDF), Self-taught / informal / unstructured courses",FALSE,TRUE,FALSE,FALSE,TRUE,No,IDR,Monthly,,"10,000,000",,,,"120,000,000","10,080","Flexible schedule, Paid time off / vacation time, Health insurance",Start-up,Education,11 - 50,2 - 10,Not applicable,Fully remote,
2024-10-22 11:18:41,Indonesia,Jakarta,Woman,25 - 30,UI/UX Designer,Full-time employee,Mid-level IC,Visual / UI design,2,2.5,Bachelor's degree,Yes,"Bootcamps (e.g. General Assembly), Formal design education (Diploma, Degree..)",TRUE,FALSE,TRUE,FALSE,FALSE,No,IDR,Monthly,,"11,500,000",,,,"138,000,000","11,592","Health insurance, Meal subsidies, Wellness (gym, fitness, etc)",Agency / Consulting,Automotive,"1001 - 10,000",Team of 1,Yes,Fully on-site,PT Graha Technosoft Informatika (Technosoft Automotive Team)
2024-10-22 11:19:24,Indonesia,Jakarta,Man,25 - 30,UIUX Designer,Full-time employee,Senior IC,Product / UX design,5,5,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"8,800,000",,,,"105,600,000","8,870","Dental insurance, Health insurance, Allowance for flexible working arrangement (remote/co-working space)",Large enterprise (MNC),Insurance,"1001 - 10,000",2 - 10,Yes,2 days on-site,AXA Mandiri
2024-10-22 11:19:43,Indonesia,Jakarta,Woman,25 - 30,Graphic Designer,Full-time employee,Senior IC,Marketing / graphic design,12,4,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,IDR,Monthly,,"5,700,000",,,,"68,400,000","5,746",,Agency / Consulting,a lot of brand,51 - 200,2 - 10,Yes,Fully on-site,EC
2024-10-22 11:19:54,Indonesia,Semarang,Man,18 - 24,Junior UI/UX Designer,Full-time employee,Junior IC (Entry level),Visual / UI design,1,1,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"2,500,000",,,,"30,000,000","2,520","Allowance for flexible working arrangement (remote/co-working space), Internet / mobile phone subsidies, Onsite food / snacks",Agency / Consulting,"Technology, media & telecommunications",11 - 50,2 - 10,Yes,Fully on-site,Pickolab studio
2024-10-22 11:20:45,Indonesia,Medan,Man,18 - 24,UI/UX Designers,Fixed term contractor,Mid-level IC,Product / UX design,1,2,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"4,500,000",,,,"54,000,000","4,536",,Start-up,"Technology, media & telecommunications",11 - 50,2 - 10,No,Fully remote,
2024-10-22 11:21:06,Indonesia,Jakarta,Woman,31 - 35,Design Lead,Full-time employee,Lead / Staff / Principal IC,Product / UX design,10,12,Master's degree,Yes,"Bootcamps (e.g. General Assembly), Self-taught / informal / unstructured courses, Formal design education (Diploma, Degree..)",TRUE,FALSE,TRUE,FALSE,TRUE,No,IDR,Annual,"336,000,000",,"50,000,000","24,000,000",,"410,000,000","34,440",,Large enterprise (MNC),Banking & capital markets,"10,001 and above",2 - 10,Yes,Fully on-site,
2024-10-22 11:22:21,Indonesia,Jakarta,Man,25 - 30,Product Designer,Fixed term contractor,Mid-level IC,Visual / UI design,3,4,Diploma,No,,,,,,,No,IDR,Monthly,,"7,500,000","7,500,000",,"1,500,000","99,000,000","8,316","Onsite food / snacks, Health insurance",Agency / Consulting,"Technology, media & telecommunications",1 - 10,2 - 10,Not applicable,Fully remote,Natuno
2024-10-22 11:23:42,Indonesia,Batam,Woman,25 - 30,Senior UI/UX Designet,Full-time employee,Senior IC,Product / UX design,6,6,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"11,250,000","20,500,000",,"5,000,000","160,500,000","13,482",Budget for equipment or home office setup,Small-medium enterprise,Accounting Firm,11 - 50,2 - 10,No,Fully remote,Grof
2024-10-22 11:25:32,Indonesia,Bandung,Man,25 - 30,UI/UX Designer,Full-time employee,Mid-level IC,Visual / UI design,3,3,High school / secondary school,No,,,,,,,No,IDR,Monthly,,"3,788,000",,,"212,000","45,668,000","3,836",,Agency / Consulting,"Technology, media & telecommunications",11 - 50,2 - 10,No,Fully on-site,PT. Aegis Ultima Teknologi
2024-10-22 11:25:35,Indonesia,Jakarta,Man,18 - 24,Multidisciplinary Designer,Full-time employee,Mid-level IC,"Jack-of-all-Trades (Brand Identity, Landing Page, Motion, Presentation, Social Media, UI/UX, HTML5, Logo Design, Concept and Campaign)",4,6,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..), Self-taught / informal / unstructured courses",TRUE,FALSE,FALSE,FALSE,TRUE,Yes,USD,Monthly,,"1,650",,,250,"20,050","27,068",,Start-up,Design Subscription Service,201 - 1000,101 and above,No,Fully remote,Superside
2024-10-22 11:27:02,Indonesia,Jakarta,Woman,25 - 30,UI/UX Designer,Full-time employee,Mid-level IC,Product / UX design,4,3,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,IDR,Monthly,,"10,000,000",,,,"120,000,000","10,080",Health insurance,Start-up,Financial services,51 - 200,2 - 10,Yes,3 days on-site,
2024-10-22 11:27:17,Indonesia,Jakarta,Man,18 - 24,UI Designer,Full-time employee,Junior IC (Entry level),Visual / UI design,2,3,Diploma,Yes,"Formal design education (Diploma, Degree..), Bootcamps (e.g. General Assembly), Online certification (e.g. Coursera or IDF)",TRUE,TRUE,TRUE,FALSE,FALSE,Yes,IDR,Monthly,,"8,000,000",,,,"96,000,000","8,064","Paid medical leave, Paid time off / vacation time, Allowance for flexible working arrangement (remote/co-working space)",Start-up,"Technology, media & telecommunications",51 - 200,11 - 50,No,Fully remote,
2024-10-22 11:27:45,Indonesia,Jakarta,Woman,18 - 24,UX Researcher,Fixed term contractor,Junior IC (Entry level),Product / UX research,3,2,Bachelor's degree,Yes,"Online certification (e.g. Coursera or IDF), Bootcamps (e.g. General Assembly)",FALSE,TRUE,TRUE,FALSE,FALSE,No,IDR,Monthly,,"9,400,000","19,600,000",,,"132,400,000","11,122",Health insurance,BUMN (Badan Usaha Milik Negara),"Technology, media & telecommunications","10,001 and above",101 and above,Yes,Fully on-site,Telkom Indonesia
2024-10-22 11:27:53,Indonesia,Jakarta,Man,25 - 30,UI/UX Designer,Fixed term contractor,Mid-level IC,Full Stack UI/UX Designer,4,4,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"5,000,000",,,"300,000","60,300,000","5,065","Flexible schedule, Health insurance, Paid medical leave, Professional development, training, or learning fund, Allowance for flexible working arrangement (remote/co-working space)",Start-up,Education,11 - 50,Team of 1,Not applicable,Fully remote,Myskill
2024-10-22 11:28:01,Indonesia,Jakarta,Man,31 - 35,Product Designer,Full-time employee,Mid-level IC,Visual / UI design,6,9,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..), Self-taught / informal / unstructured courses",TRUE,FALSE,FALSE,FALSE,TRUE,No,IDR,Monthly,,"15,700,000","15,700,000",,,"204,100,000","17,144","Onsite food / snacks, Dental insurance, Paid time off / vacation time, Health insurance, Internet / mobile phone subsidies, Transport subsidies",Start-up,"Technology, media & telecommunications","1001 - 10,000",51 - 100,Yes,Fully on-site,Traveloka
2024-10-22 11:29:03,Indonesia,Jakarta,Man,25 - 30,UX Designer,Full-time employee,Mid-level IC,Product / UX design,4,6,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"12,000,000","30,000,000",,,"174,000,000","14,616","Professional development, training, or learning fund, Dental insurance, Transport subsidies, Health insurance, Budget for equipment or home office setup",Large enterprise (MNC),"Technology, media & telecommunications","10,001 and above",101 and above,Yes,Fully on-site,Telkom Indonesia
2024-10-22 11:29:15,Indonesia,Bandung,Man,31 - 35,Senior UI/UX Designer,Full-time employee,Senior IC,Product / UX design,7,10,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..), Self-taught / informal / unstructured courses",TRUE,FALSE,FALSE,FALSE,TRUE,No,IDR,Monthly,,"17,000,000",,,,"204,000,000","17,136","Allowance for flexible working arrangement (remote/co-working space), Paid time off / vacation time, Flexible schedule",Small-medium enterprise,"Technology, media & telecommunications",11 - 50,Team of 1,No,Fully remote,Livecom
2024-10-22 11:29:34,Indonesia,Medan,Woman,25 - 30,Product Designer,Full-time employee,Mid-level IC,Product / UX design,3,8,Bachelor's degree,Yes,"Bootcamps (e.g. General Assembly), Online certification (e.g. Coursera or IDF)",FALSE,TRUE,TRUE,FALSE,FALSE,Yes,IDR,Monthly,,"6,900,000","4,000,000",,"2,000,000","88,800,000","7,459",,Small-medium enterprise,"Technology, media & telecommunications",51 - 200,2 - 10,Not applicable,Fully remote,
2024-10-22 11:29:59,Indonesia,Madiun,Woman,25 - 30,Product Designer,Fixed term contractor,Mid-level IC,Product / UX design,3,5,Bachelor's degree,No,,,,,,,Yes,IDR,Monthly,,"11,000,000",,,,"132,000,000","11,088",,Small-medium enterprise,Insurance,11 - 50,2 - 10,Not applicable,Fully remote,
2024-10-22 11:30:43,Indonesia,Jakarta,Man,25 - 30,Senior Product Designer,Fixed term contractor,Senior IC,Product / UX design,7,7,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"19,500,000","234,000,000",,,"468,000,000","39,312",WFA,Government,"Technology, media & telecommunications",51 - 200,2 - 10,Yes,1 day on-site,Indico by Telkomsel
2024-10-22 11:30:50,Indonesia,Semarang,Man,18 - 24,UI Designer,Full-time employee,Mid-level IC,Visual / UI design,3,3,High school / secondary school,No,,,,,,,No,IDR,Monthly,,"4,000,000","3,800,000",,,"51,800,000","4,351",Allowance for flexible working arrangement (remote/co-working space),Agency / Consulting,"Technology, media & telecommunications",1 - 10,Team of 1,Not applicable,Fully remote,Keitoto Studio
2024-10-22 11:30:51,Indonesia,Jakarta,Man,25 - 30,Junior Product Designer,Fixed term contractor,Junior IC (Entry level),Product / UX design,2,2,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"9,600,000",,,,"115,200,000","9,677",Allowance for flexible working arrangement (remote/co-working space),Government,Health care,51 - 200,2 - 10,Yes,2 days on-site,
2024-10-22 11:31:38,Indonesia,Jakarta,Man,18 - 24,Product Designer,Full-time employee,Mid-level IC,Product / UX design,3,5,High school / secondary school,No,,,,,,,No,IDR,Monthly,,"12,000,000",,,,"144,000,000","12,096",,Start-up,Education,51 - 200,Team of 1,Yes,2 days on-site,
2024-10-22 11:31:43,Indonesia,Tangerang,Man,36 - 40,Senior UI UX Designer,Full-time employee,Lead / Staff / Principal IC,Visual / UI design,6,11,Diploma,No,,,,,,,No,IDR,Monthly,,"13,000,000",,,,"156,000,000","13,104",,Small-medium enterprise,"Technology, media & telecommunications",51 - 200,2 - 10,Not applicable,Fully on-site,NexSoft
2024-10-22 11:31:56,Indonesia,Denpasar,Man,18 - 24,Product Designer,Full-time employee,Mid-level IC,Product / UX design,6,7,High school / secondary school,No,,,,,,,No,IDR,Monthly,,"11,600,000","11,600,000",,,"150,800,000","12,667","Allowance for flexible working arrangement (remote/co-working space), Health insurance",Start-up,"Technology, media & telecommunications",201 - 1000,11 - 50,No,2 days on-site,Vidio.com
2024-10-22 11:32:17,Indonesia,Jakarta,Man,25 - 30,UI/UX Design specialist,Full-time employee,Senior IC,Product / UX design,8,8,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"15,000,000","45,000,000",,,"225,000,000","18,900","Health insurance, Paid time off / vacation time, Allowance for flexible working arrangement (remote/co-working space), Internet / mobile phone subsidies, Dental insurance, Professional development, training, or learning fund, Paid medical leave, Flexible schedule",Large enterprise (MNC),Banking & capital markets,201 - 1000,11 - 50,Yes,Fully remote,
2024-10-22 11:32:19,Indonesia,Salatiga,Man,25 - 30,UX Designer,Full-time employee,Mid-level IC,Product / UX design,3,3,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"6,800,000","9,000,000",,,"90,600,000","7,610","Dental insurance, Health insurance, Wellness (gym, fitness, etc), Flexible schedule, Professional development, training, or learning fund",Large enterprise (MNC),Lab Automation,"10,001 and above",11 - 50,No,Fully on-site,Formulatrix
2024-10-22 11:32:18,Indonesia,Jakarta,Non-binary/Non-conforming,25 - 30,UI/UX Designer,Fixed term contractor,Junior IC (Entry level),Product / UX design,2,4,Bachelor's degree,Yes,"Online certification (e.g. Coursera or IDF), Bootcamps (e.g. General Assembly)",FALSE,TRUE,TRUE,FALSE,FALSE,No,IDR,Monthly,,"4,700,000",,,,"56,400,000","4,738",,Start-up,Financial services,11 - 50,Team of 1,Yes,Fully on-site,Jari Solusi International
2024-10-22 11:32:32,Indonesia,Jakarta,Woman,18 - 24,Fashion Graphic Designer,Full-time employee,Junior IC (Entry level),Marketing / graphic design,1,3,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"5,000,000",,,,"60,000,000","5,040",,Small-medium enterprise,"Retail, wholesale & distribution",11 - 50,Team of 1,Yes,3 days on-site,LR STUDIO
2024-10-22 11:33:24,Indonesia,Jakarta,Woman,25 - 30,UI Designer,Full-time employee,Lead / Staff / Principal IC,Visual / UI design,7,7,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"15,000,000",,,,"180,000,000","15,120",,Agency / Consulting,"Technology, media & telecommunications",11 - 50,2 - 10,Yes,Fully on-site,
2024-10-22 11:33:42,Indonesia,Bandung,Woman,25 - 30,UX Designer,Full-time employee,Mid-level IC,Product / UX design,4,6,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..), Online certification (e.g. Coursera or IDF), Bootcamps (e.g. General Assembly), Self-taught / informal / unstructured courses",TRUE,TRUE,TRUE,FALSE,TRUE,No,IDR,Monthly,,"14,000,000","30,000,000",,,"198,000,000","16,632","Professional development, training, or learning fund, Health insurance, Budget for equipment or home office setup, Paid medical leave, Dental insurance, Internet / mobile phone subsidies, Wellness (gym, fitness, etc)",Government,"Technology, media & telecommunications","1001 - 10,000",2 - 10,Yes,Fully on-site,Telkom Indonesia
2024-10-22 11:35:06,Indonesia,Jakarta,Woman,25 - 30,UX Designer,Full-time employee,Mid-level IC,Product / UX design,5,5,Bachelor's degree,Yes,Self-taught / informal / unstructured courses,FALSE,FALSE,FALSE,FALSE,TRUE,No,IDR,Monthly,,"13,000,000","65,000,000",,,"221,000,000","18,564","Dental insurance, Health insurance, Meal subsidies, Flexible schedule, Onsite food / snacks, Internet / mobile phone subsidies, Paid time off / vacation time, Professional development, training, or learning fund, Wellness (gym, fitness, etc), Paid medical leave",Large enterprise (MNC),"Technology, media & telecommunications","1001 - 10,000",11 - 50,Yes,Fully on-site,
2024-10-22 11:35:18,Indonesia,Jakarta,Man,25 - 30,UI UX Designer,Full-time employee,Mid-level IC,Visual / UI design,5,3,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"6,000,000","6,000,000",,,"78,000,000","6,552","Transport subsidies, Paid medical leave",Small-medium enterprise,Automotive,51 - 200,Team of 1,Yes,Fully on-site,
2024-10-22 11:35:45,Indonesia,Jakarta,Woman,18 - 24,Product Designer,Full-time employee,Junior IC (Entry level),Product / UX design,2,2,Bachelor's degree,Yes,"Online certification (e.g. Coursera or IDF), Bootcamps (e.g. General Assembly), Self-taught / informal / unstructured courses",FALSE,TRUE,TRUE,FALSE,TRUE,No,IDR,Monthly,,"8,625,000","7,000,000",,,"110,500,000","9,282","Dental insurance, Health insurance",Start-up,Human resource,51 - 200,2 - 10,Yes,2 days on-site,
2024-10-22 11:35:51,Indonesia,Jakarta,Man,18 - 24,UI/UX Designer,Full-time employee,Junior IC (Entry level),Product / UX design,4,2,Master's degree,No,,,,,,,No,IDR,Monthly,,"6,200,000",,,,"74,400,000","6,250","Paid medical leave, Dental insurance, Flexible schedule, Paid time off / vacation time, Health insurance, Allowance for flexible working arrangement (remote/co-working space)",Start-up,Insurance,51 - 200,2 - 10,Yes,3 days on-site,
2024-10-22 11:35:54,Indonesia,Jakarta,Woman,25 - 30,Product Designer,Full-time employee,Mid-level IC,Product / UX design,3,4,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"9,500,000",,,,"114,000,000","9,576","Flexible schedule, Dental insurance, Professional development, training, or learning fund, Health insurance",Start-up,Education,51 - 200,2 - 10,Yes,2 days on-site,PT. Pintar Pemenang Asia
2024-10-22 11:36:36,Indonesia,Salatiga,Woman,18 - 24,"Product Designer, UI/UX Designer",Fixed term contractor,Mid-level IC,Product / UX design,4,4,Bachelor's degree,Yes,"Online certification (e.g. Coursera or IDF), Bootcamps (e.g. General Assembly)",FALSE,TRUE,TRUE,FALSE,FALSE,No,IDR,Monthly,,"8,000,000",,,,"96,000,000","8,064","Meal subsidies, Health insurance, Paid medical leave",Government,Financial services,"10,001 and above",101 and above,Yes,3 days on-site,BRI
2024-10-22 11:36:40,Indonesia,Jakarta,Man,31 - 35,Motion Designer and Video Editor,Full-time employee,Senior IC,Motion / animation design,8,12,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,Yes,IDR,Monthly,,"45,000,000","54,000,000",,"20,000,000","614,000,000","51,576","Paid time off / vacation time, Budget for equipment or home office setup, Paid medical leave, Health insurance, Professional development, training, or learning fund, Flexible schedule",Large enterprise (MNC),"Transportation, hospitality & services",201 - 1000,2 - 10,No,Fully remote,SiteMinder
2024-10-22 11:36:41,Indonesia,Jakarta,Man,25 - 30,UX Designer,Fixed term contractor,Senior IC,Product / UX design,5,6,Master's degree,Yes,"Formal design education (Diploma, Degree..), Online certification (e.g. Coursera or IDF), Self-taught / informal / unstructured courses",TRUE,TRUE,FALSE,FALSE,TRUE,No,IDR,Monthly,,"16,330,000","35,000,000",,,"230,960,000","19,401","Professional development, training, or learning fund, Paid medical leave, Dental insurance, Health insurance",Large enterprise (MNC),"Technology, media & telecommunications","10,001 and above",51 - 100,No,Fully on-site,PT. Telkom Indonesia
